—лово               ѕравильные ответы   Ќеправильные ответы 




—уществительные

бјнты                0                    1                   
крјны                0                    0                   
новост≈й             0                    0                   
водопровќд           0                    0                   
каталќг              0                    0                   
аэропќрты            0                    0                   
килом≈тр             0                    0                   
докум≈нт             0                    0                   
м≈стностей           0                    0                   
бќроду               0                    0                   
деф»с                0                    0                   
знјчимость           0                    0                   
»ксы                 0                    0                   
лыжня                0                    0                   
вероиспов≈дание      0                    0                   
мусоропровќд         0                    0                   
ерет»к               0                    0                   
газопровќд           0                    0                   
кремня               0                    0                   
ч≈люстей             0                    0                   
пќчестей             0                    0                   
децим≈тр             0                    0                   
сантим≈тр            0                    0                   
крем≈нь              0                    0                   
кќнусов              0                    0                   
испов≈дать           0                    0                   
некролќг             0                    0                   
нам≈рение            0                    0                   
корџсть              0                    0                   
монолќг              0                    0                   
диспанс≈р            0                    0                   
жалюз»               0                    0                   
нефтепровќд          0                    0                   
миллим≈тр            0                    0                   
диалќг               0                    0                   
квартјл              0                    0                   
знјчимый             0                    0                   
бухгјлтеров          0                    0                   
договор®нность       0                    0                   
граждјнство          0                    0                   
л≈кторов             0                    0                   
дос”г                0                    0                   


ѕрилагательные

крас»вейший          0                    0                   
к”хонный             0                    0                   
болтл»ва             0                    0                   
оптќвый              0                    0                   
ловкј                0                    0                   
моза»чный            0                    0                   
смазл»ва             0                    0                   
прожќрлива           0                    0                   
сл»вовый             0                    0                   
знјчимый             0                    0                   
крас»вее             0                    0                   
прозорл»ва           0                    0                   
суетл»ва             0                    0                   
вернј                0                    0                   


√лаголы

нјчал                0                    0                   
надорвалјсь          0                    0                   
послјла              0                    0                   
сор»т                0                    0                   
ворвалјсь            0                    0                   
обогналј             0                    0                   
прибџть              0                    0                   
бралјсь              0                    0                   
вз€лјсь              0                    0                   
воссоздалј           0                    0                   
клјла                0                    0                   
прин€лј              0                    0                   
пр»н€л               0                    0                   
зан€лј               0                    0                   
ж»тьс€               0                    0                   
обн€лјсь             0                    0                   
гналј                0                    0                   
добралј              0                    0                   
окруж»т              0                    0                   
нарвалј              0                    0                   
отозвалј             0                    0                   
плодонос»ть          0                    0                   
ворвјтьс€            0                    0                   
добралјсь            0                    0                   
зјн€л,               0                    0                   
налилј               0                    0                   
перезвон»ть          0                    0                   
воспринять           0                    0                   
л»тьс€               0                    0                   
пр»н€ли              0                    0                   
баловјть             0                    0                   
прин”дить            0                    0                   
создјть              0                    0                   
укреп»ть             0                    0                   
ч≈рпать              0                    0                   
началј               0                    0                   
вз€лј                0                    0                   
насор»ть             0                    0                   
ободр»ть             0                    0                   
исч≈рпать            0                    0                   
перелилј             0                    0                   
разбаловјть          0                    0                   
сор»ть               0                    0                   
дозвонятс€           0                    0                   
премировјть          0                    0                   
создалј              0                    0                   
укреп»т              0                    0                   
нормировјть          0                    0                   
обзвон»т             0                    0                   
полилј               0                    0                   
гналјсь              0                    0                   
лилјсь               0                    0                   
баловјтьс€           0                    0                   
облегч»т             0                    0                   
звон»т               0                    0                   
озлќбить             0                    0                   
дождалјсь            0                    0                   
пр»был               0                    0                   
прибылј              0                    0                   
пр»было              0                    0                   
избаловјть           0                    0                   
